20191101,00006108,2,5,20191102051124,339000,0,0,17時頃までは終日入店あり。インスタご覧いただいている新規にハスケルセットで稼働。VIP顧客様ご来店でALMA稼働。10月の渋いムードとは一変し、購買意欲のあるかたが多い印象。夕方からは入店もなくなり伸ばすこと出来なかったが、11月良い滑り出しでスタートできた。,4,357000,15,0,61000
20191101,00006109,0,0,20191102051124,0,0,780000,夕方以降に接客はあるが、顧客様は今後の検討、フリーにCRBなど接客あり。,0,0,0,0,642000
20191102,00006109,0,0,20191102051124,0,780000,780000,,0,0,0,0,642000
20191101,00006110,0,1,20191102051124,430000,0,200000,顧客様DR1点WED接客０,1,430000,1,0,1313250
20191101,00007101,2,18,20191102051124,522790,23500,502800,顧客様の来店が相次ぎ、DECOとBGMのファブリック7万セットやBGMのラグ4.5万、新規のお客様にもラグ10万の取り置き回収に加えて4万のアートが稼働。その他も8.5万のテーブルの入金など、高単価の商材が動いた日。,3,146500,27,0,0
20191102,00007101,0,14,20191102051124,242380,9500,502800,,1,119900,0,0,0
20191101,00007102,3,7,20191102051124,376100,0,76000,,0,0,10,0,0
20191102,00007102,0,6,20191102051124,114700,0,76000,,1,35000,0,0,0
20191101,00007103,0,18,20191102051124,286900,27500,7149500,CRTがとても好調。顧客様やリピーターの目的来店が多くセット組も多数で売上を伸ばせた。,2,18900,22,0,0
20191102,00007103,0,12,20191102051124,115750,0,7149500,,0,0,0,0,0
20191101,00008101,0,1,20191102051124,171000,0,0,お取り置きのキーホルダー回収の顧客様へバッグ、アクセサリーをプラスでき予算達成。,1,171000,4,0,400400
20191102,00008101,0,5,20191102051124,232500,0,0,,1,12500,0,0,400400
20191101,00008102,0,11,20191102051124,280800,0,2779600,,2,103700,14,0,0
20191102,00008102,0,6,20191102051124,280100,0,2779600,,3,106800,0,0,0
20191101,00008103,0,4,20191102051124,76900,107000,439300,,0,0,12,0,0
20191102,00008103,0,5,20191102051124,165600,0,439300,,0,0,0,0,0
20191101,00008105,0,3,20191102051124,54500,10400,103400,,2,45000,5,0,0
20191102,00008105,0,2,20191102051124,25700,0,103400,,1,8500,0,0,0
