20190909,00012101,0,1,2019/09/10 16:00:22,9500,0,0,.,0,0,0
20190904,00012102,0,1,2019/09/10 16:00:22,13000,0,0,豪雨と落雷で客足は遠のく。－90600円,0,0,2
20190904,00012103,0,1,2019/09/10 16:00:22,36000,0,0,以前からご覧頂いていたマダムが美容室とあわせて来店されスケッチが決まり売上が立つ。他ご検討になったebagosの接客が1件と外国人の入店1組。,0,0,2
20190904,00012105,0,2,2019/09/10 16:00:22,84000,46000,46000,①島田　森川　船越　②接客数少ない中、地方客とハンギングきっかけでフリー2名獲得　③インバウンド0　TTL0　④なし,0,0,6
20190904,00012106,0,16,2019/09/10 16:00:22,193400,0,0,.,0,0,26
20190904,00013101,0,5,2019/09/10 16:00:22,65420,0,0,.,2,25340,10
20190904,00013102,0,7,2019/09/10 16:00:22,136100,0,0,夕方から後半伸びず、オケも試着はいるが決まらず,1,64100,15
20190904,00013103,1,23,2019/09/10 16:00:22,392060,4320,4320,.,4,77500,51
20190904,00013104,4,22,2019/09/10 16:00:22,418360,0,0,本日は館全体的に、購買意欲の高い方が多く、秋物を探している。とおっしゃる方も多く、また夜には顧客様の来店も相次ぎ、予算をプラスで取れました。,3,38320,32
20190904,00014101,0,14,2019/09/10 16:00:22,519500,0,0,.,0,0,9
20190904,00014102,0,5,2019/09/10 16:00:22,130000,0,0,.,0,0,8
20190904,00014103,0,3,2019/09/10 16:00:22,41400,0,0,.,0,0,1
20190904,00014104,0,6,2019/09/10 16:00:22,153700,0,0,.,0,0,4
20190904,00014105,0,4,2019/09/10 16:00:22,50300,0,0,.,0,0,8
20190904,00014106,0,2,2019/09/10 16:00:22,3900,0,0,.,0,0,3
20190904,00015102,0,11,2019/09/10 16:00:22,272720,0,0,.,1,59000,14
20190904,00015103,1,4,2019/09/10 16:00:22,71400,0,0,.,1,37000,8
20190904,00016101,0,5,2019/09/10 16:00:22,98200,0,0,.,1,18000,15
20190904,00021101,0,2,2019/09/10 16:00:22,2800,0,0,早番:高橋、黒田 遅番:石井 状況:本日は昨日以上に終日、回遊客、入店ともにかなり少なく、接客機会を作る事に苦戦した。 ,0,0,4
